country_name,waste_type,recycling_rate
Poland,Paper and cardboard packaging,0.16666666666666666
Poland,Plastic packaging,0.16666666666666666
Poland,Wooden packaging,0.16666666666666666
Portugal,Glass packaging,0.0
Portugal,Metallic packaging,0.0
Portugal,Packaging,0.0
Portugal,Paper and cardboard packaging,0.0
Portugal,Plastic packaging,0.0
Portugal,Wooden packaging,0.0
Romania,Glass packaging,0.08333333333333333
Romania,Metallic packaging,0.08333333333333333
Romania,Packaging,0.08333333333333333
Romania,Paper and cardboard packaging,0.08333333333333333
Romania,Plastic packaging,0.08333333333333333
Romania,Wooden packaging,0.08333333333333333
Serbia,Glass packaging,1.0
Serbia,Metallic packaging,1.0
Serbia,Packaging,1.0
Serbia,Paper and cardboard packaging,1.0
Serbia,Plastic packaging,1.0
Serbia,Wooden packaging,1.0
Slovakia,Glass packaging,0.0
Slovakia,Metallic packaging,0.0
Slovakia,Packaging,0.0
Slovakia,Paper and cardboard packaging,0.0
Slovakia,Plastic packaging,0.0
Slovakia,Wooden packaging,0.0
Slovenia,Glass packaging,0.0
Slovenia,Metallic packaging,0.0
Slovenia,Packaging,0.0
Slovenia,Paper and cardboard packaging,0.0
Slovenia,Plastic packaging,0.0
Slovenia,Wooden packaging,0.0
Spain,Glass packaging,0.0
Spain,Metallic packaging,0.0
Spain,Packaging,0.0
Spain,Paper and cardboard packaging,0.0
Spain,Plastic packaging,0.0
Spain,Wooden packaging,0.0
Sweden,Glass packaging,0.0
Sweden,Metallic packaging,0.0
Sweden,Packaging,0.0
Sweden,Paper and cardboard packaging,0.0
Sweden,Plastic packaging,0.0
Sweden,Wooden packaging,0.0
Switzerland,Glass packaging,1.0
Switzerland,Metallic packaging,1.0
Switzerland,Packaging,1.0
Switzerland,Paper and cardboard packaging,1.0
Switzerland,Plastic packaging,1.0
Switzerland,Wooden packaging,1.0
Türkiye,Glass packaging,1.0
Türkiye,Metallic packaging,1.0
Türkiye,Packaging,1.0
Türkiye,Paper and cardboard packaging,1.0
Türkiye,Plastic packaging,1.0
Türkiye,Wooden packaging,1.0
United Kingdom,Glass packaging,1.0
United Kingdom,Metallic packaging,1.0
United Kingdom,Packaging,1.0
United Kingdom,Paper and cardboard packaging,1.0
United Kingdom,Plastic packaging,1.0
United Kingdom,Wooden packaging,1.0
