country_name,year,recycling_rate,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,total_environm_tax_per_capita,pollut_environm_tax_per_capita,gr_val_add_per_capita,priv_inv_per_capita
Austria,1995,,,,,,,,,,,,,,,,,,,,,
Austria,1996,,,,,,,,,,,,,,,,,,,,,
Austria,1997,,,,,,,,,,,,,,,,,,,,,
Austria,1998,,,,,,,,,,,,,,,,,,,,,
Austria,1999,,,,,,,,,,,,,,,,,,,,,
Austria,2000,63.4,,,,,,,38571.0858780001,66.7690238969566,33.7301,26.4,17982000.0,8011566.0,18.726691043317,1.84726524353027,69.8805543658546,21252.0135794364,646.371758030827,10.27389651411472,,
Austria,2001,64.3,,,,,,,38929.753800545,66.8408161285718,39.1855,25.5,18180000.0,8042293.0,18.8665063718647,1.8637467026710501,70.9774758286207,21441.9998908602,707.1067915580793,12.414369881823506,,
Austria,2002,62.5,,,,,,,39313.7225107545,66.8887457136458,36.56,24.7,18611000.0,8081957.0,18.2889236424197,1.88022816181183,72.5455946752039,21482.2799380836,739.9692920910121,12.740726039497611,,
Austria,2003,64.2,,,,,,,39569.2885567329,66.9263574955092,42.7,22.6,19078000.0,8121423.0,17.9613432652269,1.93046128749847,72.6677724433321,21750.471777238,777.9978951964453,13.386816571430893,,
Austria,2004,57.4,,,,,,,40333.3307183894,66.9558612872944,54.28,23.2,19374000.0,8171966.0,17.8020784726469,1.84377062320709,73.3623634251644,22117.628677025,790.4817518819829,8.502238017142998,,
Austria,2005,58.3,,,,,,,40989.0131778975,66.9797950654143,58.0,24.4,19952000.0,8227829.0,17.8503433495394,1.67952907085419,74.1999969482422,22461.3821185147,794.3249671328853,7.176862815209213,643.5476478667701,640.8737955054729
Austria,2006,59.2,,,,,,,42120.1557002022,67.0006968062814,63.6,26.6,20269000.0,8268641.0,18.278172325021,1.82738518714905,75.2988408584927,22818.1789343277,792.2946467261065,10.064531765256225,643.515663577606,635.4127600895963
Austria,2007,60.2,,,,,,,43568.8302243941,67.0211044863084,69.37,29.0,20773000.0,8295487.0,18.5487211186086,1.86356592178345,73.5899963378906,22995.3691352011,835.8038533482121,9.95842679278504,658.9124906108586,633.1153312638547
Austria,2008,63.2,,,,,,,44063.8642019916,67.0435560819078,72.87,29.7,21935000.0,8321496.0,17.8916492533569,1.77165818214417,72.4700012207031,23140.4260957776,840.7118143180024,9.057265664731437,799.4956676059209,841.3150712323842
Austria,2009,61.9,,,,,,,42372.4758254763,67.0705895694924,73.45,31.3,21355000.0,8343323.0,16.8205431880351,1.66273927688599,75.8099975585938,23276.2178385652,823.8324226450301,8.359978392302443,734.7192479543223,562.605570945773
Austria,2010,59.4,,,,,,,43035.4073531933,67.1047429254747,75.17,31.1,22004000.0,8363404.0,17.0146236665127,1.81252110004425,76.5599975585938,23451.231331976,844.9956500965396,7.449119999464333,738.6944359019366,545.8303819832212
Austria,2011,56.7,,,,,,,44146.1956805294,67.1484255415056,78.74,31.6,23012000.0,8391643.0,17.1446473129533,1.60288524627686,76.4300003051758,23686.6910457616,920.8947520765599,7.673110021482087,760.1610316358787,583.7950923317401
Austria,2012,57.7,82.9,61.4,65.9,84.9,34.7,21.5,44221.4599530893,67.2085909812279,80.03,34.4,24151000.0,8429991.0,17.2564830895639,1.56018972396851,76.9800033569336,23702.0043017186,940.8289996988134,8.559914239528844,788.1384452249118,606.1690931817128
Austria,2013,57.7,84.8,87.5,66.6,84.3,34.4,20.3,43851.3675497404,67.2981308784247,80.6188,34.6,24813000.0,8479823.0,17.1063898788247,1.57137954235077,77.3099975585938,23544.0998309886,970.4648316362264,8.59569828285331,809.5687846314717,595.7671522153233
Austria,2014,56.3,84.5,87.0,66.6,84.9,33.6,19.9,43838.8345892137,67.4154327591781,80.9958,35.7,25291000.0,8546356.0,17.1867790689422,1.5529956817627,78.4300003051758,23431.7517992692,1011.6650886061849,8.857576258232163,841.0602132651624,617.8071683416886
Austria,2015,56.9,85.6,87.2,67.1,84.9,33.6,18.1,43915.228020857,67.5576175537383,83.9401,34.8,26728000.0,8642699.0,17.242928730216,1.4509791135788,79.0100021362305,23283.6083256759,1045.413012763721,9.153390624849946,847.5361689675875,622.9535472657326
Austria,2016,57.6,85.2,88.3,66.8,84.9,33.6,17.7,44362.6702805116,67.7218061923556,84.3237,34.6,28121000.0,8736668.0,17.6682251530651,1.47481060028076,79.370002746582,23389.1208081631,1077.21273144407,9.301028721704888,879.3970424422674,644.2959718739455
Austria,2017,57.8,84.1,85.6,65.6,83.5,33.4,19.9,45056.6385912412,67.9051196052802,87.9356,34.0,29460000.0,8797566.0,17.4427051605451,1.46775150299072,79.6600036621094,23681.6715707122,1102.515172946699,9.81521479918423,944.2384404959281,651.6575152718377
Austria,2018,57.7,83.9,84.4,65.5,84.2,31.9,20.6,45951.5819164034,68.1046787227623,87.4791,34.1,30816000.0,8840521.0,17.3211161045372,1.45611667633057,80.0708180825642,23827.4848048005,1082.603615782373,11.766274860949936,843.2760919859813,634.9173312296866
Austria,2019,58.2,81.1,84.7,65.4,84.7,30.8,20.5,46550.5622459492,68.3176044750522,87.7522,34.0,31884000.0,8879920.0,17.1022858668807,1.49212622642517,80.6699981689453,23851.9195197621,1090.5323471382626,11.112712727141686,852.5977711510915,653.2716510959558
Austria,2020,62.3,81.6,66.1,63.7,80.0,25.3,29.6,43428.6983137234,68.5410177924001,87.5294,35.8,15091000.0,8916864.0,16.5973264696294,1.60586321353912,80.9440184335445,21727.1843402849,988.2857919555574,8.421122044700917,840.3178516572642,603.4632803640383
Austria,2021,62.5,82.3,73.9,65.6,81.0,25.9,37.0,45368.6434337368,68.773601700253,92.5292,36.0,15091000.0,8955797.0,16.9794494072387,1.52829468250275,81.454239120584,22544.7809848605,1091.7710618049962,9.534606467743743,982.045484059096,549.3648415657478
Austria,2022,62.6,86.3,74.6,66.2,80.5,25.4,31.6,47332.4240357971,68.998085127906,93.6141,36.0,15091000.0,9041851.0,16.6515788411782,1.46492278575897,82.0893352573971,23594.8540897255,942.5868663396466,9.682751905555621,910.7648422872707,596.7804601071174
Austria,2023,62.8,79.3,83.3,64.9,79.6,26.9,35.8,46497.9114640341,69.2265358276021,95.3347,36.0,15091000.0,9131761.0,15.9413915270403,1.32668149471283,82.5592927591342,23298.5288472272,1043.969503801074,8.836192712446154,920.6329425397796,591.9997249161471
Austria,2024,,,,,,,,45958.8250071261,69.4658181096788,94.9197,36.0,15091000.0,9177982.0,15.1337527310645,1.32668149471283,82.5592927591342,23298.5288472272,,,,
Belgium,1995,,,,,,,,,,,,,,,,,,,,,
Belgium,1996,,,,,,,,,,,,,,,,,,,,,
Belgium,1997,,,,,,,,,,,,,,,,,,,,,
Belgium,1998,,,,,,,,,,,,,,,,,,,,,
Belgium,1999,,,,,,,,,,,,,,,,,,,,,
Belgium,2000,49.7,,,,,,,35878.3153586195,82.0152520403035,29.4317,1.4,6457000.0,10251250.0,17.5359744500664,1.65919423103333,50.0038123766939,19033.5860831606,601.5851725399342,47.29179368369711,,
