country_name,year,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,gdp_per_capita_filled,urban_population_pct_filled,internet_users_pct_filled,renewable_energy_pct_filled,tourism_arrivals_filled,population_total_filled,manufacturing_value_added_pct_gdp_filled,government_effectiveness_estimate_filled,highschool_completed_pct_filled,household_exp_percapita_filled
Albania,2000,1991.91435867116,41.6135829609314,0.114097,41.4,317000.0,3089027.0,4.7114591532226,-0.917780160903931,,1373.93215714894,1991.91435867116,41.6135829609314,0.114097,41.4,317000.0,3089027.0,4.7114591532226,-0.917780160903931,37.0400009155273,1373.93215714894
Austria,2000,38571.0858780001,66.7690238969566,33.7301,26.4,17982000.0,8011566.0,18.726691043317,1.84726524353027,69.8805543658546,21252.0135794364,38571.0858780001,66.7690238969566,33.7301,26.4,17982000.0,8011566.0,18.726691043317,1.84726524353027,69.8805543658546,21252.0135794364
Belgium,2000,35878.3153586195,82.0152520403035,29.4317,1.4,6457000.0,10251250.0,17.5359744500664,1.65919423103333,50.0038123766939,19033.5860831606,35878.3153586195,82.0152520403035,29.4317,1.4,6457000.0,10251250.0,17.5359744500664,1.65919423103333,50.0038123766939,19033.5860831606
Bosnia and Herzegovina,2000,2567.34136989735,42.5539898606589,1.08296,19.4,171000.0,4159771.0,9.29602274851537,-1.05737936496735,,2244.37960786444,2567.34136989735,42.5539898606589,1.08296,19.4,171000.0,4159771.0,9.29602274851537,-1.05737936496735,51.8769177503296,2244.37960786444
Croatia,2000,8880.26980689876,55.6818319251231,6.64488,26.8,37226000.0,4468302.0,16.6758182049834,0.363394379615784,,5357.3631456477,8880.26980689876,55.6818319251231,6.64488,26.8,37226000.0,4468302.0,16.6758182049834,0.363394379615784,59.5999984741211,5357.3631456477
Cyprus,2000,22383.96484375,68.7726966799379,15.2554,3.1,2912000.0,947667.0,8.14938465220901,1.07490420341492,53.0678195677309,13664.3857421875,22383.96484375,68.7726966799379,15.2554,3.1,2912000.0,947667.0,8.14938465220901,1.07490420341492,53.0678195677309,13664.3857421875
Czechia,2000,12543.9364342367,74.0038256456769,9.78053,5.9,,10255063.0,23.2363628786932,0.587459146976471,78.4783083536515,6134.93768571809,12543.9364342367,74.0038256456769,9.78053,5.9,20108000.0,10255063.0,23.2363628786932,0.587459146976471,78.4783083536515,6134.93768571809
Denmark,2000,49266.9882757886,85.0999984741211,39.1724,10.7,,5339616.0,14.1574198615471,1.89654886722565,,22344.4011979978,49266.9882757886,85.0999984741211,39.1724,10.7,21119000.0,5339616.0,14.1574198615471,1.89654886722565,75.277785193348,22344.4011979978
Estonia,2000,10006.7696280939,67.385529072627,28.577,19.8,3310000.0,1396985.0,15.4671728526187,0.687826871871948,71.4599990844727,4583.38978117802,10006.7696280939,67.385529072627,28.577,19.8,3310000.0,1396985.0,15.4671728526187,0.687826871871948,71.4599990844727,4583.38978117802
Finland,2000,37872.6020343504,67.1227685349539,37.2485,31.7,2714000.0,5176209.0,24.1601044095435,2.02971863746643,,18265.0685928519,37872.6020343504,67.1227685349539,37.2485,31.7,2714000.0,5176209.0,24.1601044095435,2.02971863746643,64.7408727989187,18265.0685928519
